"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOBP_NEGATIVE_REGULATION_OF_CELL_MATRIX_ADHESION",0.075503355704698,0.670766938013951,0.487606005667288,1.41253919062975,314,23,"PIK3R1;HOXA7;DMTN;ACER2;FAM107A;NF2;DUSP22"
"GOBP_NEGATIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION",0.119495329370375,0.722936679358254,-0.269288087433045,-1.14045939153377,984,479,"HPGDS;VAX1;ISL1;FLCN;BTG4;SPINT2;FNIP1;HLA-DRB1;TSC22D1;MAGED1;NACC2;VDR;IL10;NDRG2;APPL2;FTH1;CD80;PRKAR1A;ADARB1;TMIGD3;CDC73;DPT;CCL2;LILRB2;RBM5;HNF4A;IDO1;ING4;CXCL8;FBXO4;SOD2;CSK;CAV2;VHL;ALDH1A2;DNAJB2;WDR77;NIBAN2;HGS;TNFRSF9;ITCH;FGFBP1;ATP5F1A;GDF2;OGN;CD200;PDE9A;LST1;ARG2;SSTR2;CLDN3;FXYD2;STAT1;STAT3;ARG1;DLC1;PRL;CTCF;PTCH1;FRZB;FZD5;FERMT1;CD86;VSIR;PEX2;NELL1;LILRB1;SERPINE2;E2F7;TSPAN32;ING5;IFNLR1;TFAP2B;PAX6;TBX3;NR2E3;ACKR3;AIF1;ILK;IFNG;LIF;PRDX4;SIRPG;TGFB1;IL2;BMP5;ATG13;TFF1;RBP4;SOX9;ZNF777;AZGP1;BTG3;SLC4A2;APLN;NMI;BTN2A2;IL20RB;HRG;ZBTB7B;ASPH;IL1A;HMOX1;PTGDS;IGF1;SFN;CRTAM;APOE;P3H2;MED1;ACVR1C;SULF1;MYC;MNDA;GPER1;STK4;BTK;SERPINF1;APOH;XCL1;APOD;TPM1;CHERP;LRRC32;WWC2;NME1;BNIPL;ALOX5"
"GOBP_NEGATIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION",0.768549933618528,0.964587939687997,-0.234354047090472,-0.853904477261956,5209,114,"GFAP;CEP97;INPP5F;RGMA;DAB1;TRIM46;ZNF365;RTCA;DGUOK;EPHA7;ITM2C;EFNA1;TCHP"
"GOBP_NEGATIVE_REGULATION_OF_CELL_SUBSTRATE_ADHESION",0.0155466399197593,0.480988426978078,0.484725423334766,1.57372860574322,61,38,"MELTF;AP1AR;PIK3R1;HOXA7;FZD4;DMTN;ACER2;FAM107A;NF2;DUSP22"
"GOBP_NEGATIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION",0.761875761266748,0.964587939687997,-0.215001489444426,-0.90806204437228,6254,457,"GFAP;WAPL;ISL1;CEP97;BUB3;INPP5F;FLCN;CSNK1A1;RBM14;FNIP1;CRBN;TRIM65;TLR2;RGMA;CTNNA2;NME6;DAB1;PACSIN2;IFI16;SSH3;BNIP3;LMOD1;ATG3;TRIM46;XRCC3;ZNF365;FBXL2;ANKRD13A;RTCA;HDGFL3;LILRB2;OMA1;XRCC5;MID1;DGUOK;F11R;CSK;DNAJB2;EPHA7;SEC22B;VPS35;ITM2C;CAV3;GAS2L1;DPP4;MUL1;EFNA1;RECK;THRA;PRRT2;TCHP;DLC1;PINK1;PFDN1;CORO1B;PRTN3;XRCC1;KLHL22;LILRB1;DIAPH3;VIM"
"GOBP_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS",0.757547020704915,0.964587939687997,-0.253422089443681,-0.835666908314903,4792,60,"CTDSPL2;CREB3L1;ANGPT1;HGS;WNT4;HJV;APLN;DCN;SULF2;HRG;SULF1;UBE2D3;SEMA6A;SPART;CAV1;SOSTDC1;TMEM53;PRDM14;SPRY2"
"GOBP_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS",0.452639368524914,0.917855657304672,0.315702746590957,0.993973225287768,1834,33,"RELA;PIP4K2A;ENPP1;RPS6KB2;GSK3A;IL1B"
"GOBP_NEGATIVE_REGULATION_OF_CELLULAR_SENESCENCE",0.220764272559853,0.805801553904814,0.467626802294759,1.21516117960254,958,15,"ZKSCAN3;MIF;TP63;SIRT6"
"GOBP_NEGATIVE_REGULATION_OF_CHEMOKINE_PRODUCTION",0.644530561916505,0.961201445688497,-0.348108751111347,-0.874562324373048,3658,16,"IL10;MUL1;ARG2"
"GOBP_NEGATIVE_REGULATION_OF_CHEMOTAXIS",0.79871664978048,0.964587939687997,-0.272109771494345,-0.780714194425383,4729,29,"CCL2;DPP4;CORO1B;KLRK1;CYP19A1;SLAMF8;AIF1;HRG;MMP28"
"GOBP_NEGATIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION",0.727223131478451,0.961877491197026,0.244483329511288,0.871030405562408,2665,59,"LCMT1;USP44;INCENP;ACD;ZNF207;HNRNPU;ANAPC15;HNRNPC;PLK1;PINX1;HASPIN"
