"logFC","logCPM","F","PValue","FDR","Species"
0.424329728993928,1.18205332716692,9.85406731575893,0.00336858603377653,0.325271241219385,"Enterovirus B, Coxsackievirus B3 (Strain), Echovirus 1 (Strain Farouk / Atcc Vr-1038) (Strain), Coxsackievirus B6 (Strain), Echovirus E14 (Strain), Echovirus E2 (Strain), Echovirus E20 (Strain), Echovirus E24 (Strain), Echovirus E26 (Strain), Echovirus E3 (Strain), Echovirus E32 (Strain), Echovirus E4 (Strain), Echovirus E6 (Strain), Enterovirus B75 (Strain), Enterovirus B79 (Strain), Enterovirus B82 (Strain), Enterovirus B85 (Strain), Enterovirus B101 (Strain), Enterovirus B93 (Strain), Enterovirus B113 (Strain), Enterovirus B106 (Strain), Coxsackievirus A9 (Strain), Enterovirus B98 (Strain), Enterovirus B107 (Strain)"
-0.132213807722529,4.13836652307431,9.18167642183693,0.00338824209603526,0.325271241219385,"Influenza A virus, Influenza A virus H3N2 (subtype), Influenza A virus H1N2 (subtype)"
-0.257997395481558,6.24630324929413,8.91862711956345,0.00384968039927537,0.356370414104349,"Mamastrovirus 1, unclassified Mamastrovirus"
-0.302232270125023,5.49826681495827,8.4373045691836,0.00487165154714555,0.432783233133027,"Human orthorubulavirus 4"
0.544907886531692,2.21027633813502,8.38076380576034,0.00500906519829892,0.432783233133027,"Rhinovirus A, Rhinovirus A24 (Strain), Rhinovirus A90 (Strain)"
-0.493995093067345,2.42521889031832,7.74720412111599,0.00685742873429965,0.573369525138861,"Enterovirus C, Poliovirus 2_AAA46912.1 (Strain), Poliovirus 3_AAA46914.1 (Strain), Coxsackievirus A11 (Strain), Coxsackievirus A17 (Strain), Coxsackievirus A20 (Strain), Enterovirus C102 (Strain), Human Poliovirus 1 Mahoney (Strain), Human Poliovirus 1 Strain Sabin (Strain), Poliovirus 2_CAA25246.1 (Strain), Poliovirus 3_CAA25444.1 (Strain)"
-0.631899236791389,4.49120537896683,7.6819939968038,0.00708455569030137,0.573849010914411,"Rhinovirus A, Rhinovirus A32 (Strain)"
-0.242002497806243,2.30016558286793,7.60640077786273,0.00735773484596177,0.577916627900997,"Influenza A virus, Influenza A virus H5N1 (subtype), Influenza A virus H1N1 (subtype), Influenza A virus H3N2 (subtype), Influenza A virus H7N7 (subtype), Influenza A virus H9N2 (subtype), Influenza A virus with incomplete names (subtype), Influenza A virus mixed subtypes (subtype)"
-0.318867991143644,3.19927505382942,7.52448357500769,0.0076662552391495,0.584439222937515,"Rhinovirus B, Rhinovirus B14 (Strain), Rhinovirus B6 (Strain), Rhinovirus B35 (Strain), Rhinovirus B3 (Strain), Rhinovirus B37 (Strain), Rhinovirus B52_ABO69380.1 (Strain), Rhinovirus B52_ACK37393.1 (Strain), Rhinovirus B79 (Strain), Rhinovirus B83 (Strain), Rhinovirus B92 (Strain), Rhinovirus B103 (Strain)"
-0.0978059787777919,12.3633779927588,7.29351001626948,0.00861133727175808,0.620016283566582,"Human alphaherpesvirus 3 (Varicella zoster virus; VZV)"
0.114369092828329,4.28749237505043,7.30832306355962,0.00854720736531703,0.620016283566582,"Vaccinia virus, unclassified Orthopoxvirus"
0.0265293972006707,8.79958216990967,7.1403092534028,0.00930496071140385,0.651850220647535,"Gammapapillomavirus 2"
0.188993134030175,2.75635629460325,7.35989475132976,0.0097419015215462,0.664500230101256,"Monkeypox virus, Cowpox virus, Akhmeta virus, Vaccinia virus, Variola virus, Ectromelia virus"
