"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"HALLMARK_MTORC1_SIGNALING",0.138096873926486,0.579727156532853,0.271387513648655,1.14626805622323,401,166,"RIT1;RPA1;PNO1;PSME3;CACYBP;XBP1;YKT6;SSR1;WARS1;ARPC5L;NUPR1;EIF2S2;SCD;HK2;PSMD12;GSK3B;CDC25A;PSMD13;FADS1;CDKN1A;MLLT11;HSPD1;PPIA;UFM1;TPI1"
"HALLMARK_MYC_TARGETS_V1",0.844726897973205,0.91818141084044,0.205716611658024,0.868891782852444,2458,166,"G3BP1;PRPF31;PSMD8;UBE2L3;DDX21;XRCC6;NOP16;EIF2S2;KPNB1;GSPT1;NAP1L1;PSMD7;ILF2;NCBP1;UBE2E1;HSPD1;ACP1;RUVBL2;SRSF1;PPIA;HNRNPU;RPL14;KPNA2;SERBP1;SF3B3;VBP1;HNRNPC;NDUFAB1;MCM5;RPS6;SLC25A3;SRSF2;STARD7;PSMC4;RPL34;RPL22;VDAC1;RAN;PSMA4;PGK1;ABCE1;SRM;PSMB2;MCM4;U2AF1;COPS5;HNRNPD;NCBP2;RPS2;HNRNPR"
"HALLMARK_MYC_TARGETS_V2",0.899895724713243,0.957335877354514,0.219489775452804,0.741654575879501,3451,44,"NOP16;HK2;RABEPK;TFB2M;BYSL;HSPD1;LAS1L;PLK1;MCM5"
"HALLMARK_MYOGENESIS",0.830068204904948,0.91818141084044,-0.222516020915904,-0.830996156269184,5719,132,"PSEN2;TNNC2;TPM2;SGCD;SH3BGR;SCHIP1;CKMT2;NQO1;ENO3;SORBS3;TPD52L1;CAV3;MEF2A;SPDEF;TEAD4;TNNC1;DES;FST;ACTA1;DTNA;MEF2D"
"HALLMARK_NOTCH_SIGNALING",0.282893617021277,0.665428975572602,-0.412765684520683,-1.13535796197972,1661,24,"PSEN2;CUL1;PRKCA;HEYL;ARRB1;FZD5;CCND1"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.0961780764384712,0.579727156532853,-0.318378395324726,-1.22961929655809,686,176,"PDK4;TOMM22;TOMM70;MTRF1;NDUFS1;HSD17B10;LDHA;DLD;CYB5R3;NDUFB5;NDUFB2;ATP5MG;ATP6V1D;UQCRC1;ATP5F1A;CS;UQCRB;UQCRC2;LDHB;DLAT;PHYH;SDHC;HCCS;TIMM17A;SUPV3L1;MRPS22;IDH1;NDUFB6;ATP6V0E1;MRPL11;MRPS15;NDUFS7;ACAT1;POLR2F;MGST3;PDHB;COX4I1;NDUFV2;NDUFV1"
"HALLMARK_P53_PATHWAY",0.256926121372032,0.665428975572602,0.255823412559689,1.07326561296005,778,155,"ATF3;JUN;AEN;ADA;MKNK2;HRAS;TXNIP;NUPR1;RPS27L;CDKN2B;VWA5A;DGKA;TP63;GPX2;NDRG1;KRT17;IRAK1;ISCU;HDAC3;EPS8L2;CDKN1A;TCN2;MDM2;PDGFA;RAD51C;TGFA;CASP1;AK1;BAX;F2R;APP;ANKRA2;SERPINB5;TNNI1;POLH;RGS16;IP6K2;SPHK1;FDXR;MXD1;FOS;COQ8A"
"HALLMARK_PANCREAS_BETA_CELLS",0.0361139369277721,0.361139369277721,-0.537210698494112,-1.50226587492818,212,26,"ISL1;VDR;NEUROD1;ELP4;DPP4;AKT3;SLC2A2;PAX6"
"HALLMARK_PEROXISOME",0.61449676823638,0.81701504364217,-0.264213203814567,-0.919850742577976,3992,83,"SERPINA6;PEX14;DHRS3;ELOVL5;ACOX1;SOD2;ALDH1A1;ACSL5;IDH1;PEX2;SLC35B2;ECI2;ACSL4;PEX11B;CNBP;PEX11A;NR1I2;CDK7;ABCD1;ECH1;SLC25A17;STS;VPS4B;MSH2;DHCR24;CAT;SLC25A4;ACAA1;GSTK1;SLC27A2;RETSAT;SCP2;SIAH1"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.0140964195094446,0.352410487736115,0.394968088052619,1.49230777160033,49,79,"RIT1;MAPK9;MKNK1;MKNK2;HRAS;DUSP3;MAP2K6;AKT1S1;GSK3B;PAK4"
"HALLMARK_PROTEIN_SECRETION",0.289785113671753,0.665428975572602,-0.321812029398847,-1.10106551191711,1860,74,"ERGIC3;VPS45;BNIP3;ATP6V1B1;TPD52;CAV2;STX7;SEC22B;SCAMP1;RAB22A;GLA;LMAN1;RER1;STX12"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.319405908274849,0.665428975572602,-0.35362941251546,-1.09228959247283,1956,41,"OXSR1;SELENOS;NQO1;SOD2;MGST1"
"HALLMARK_SPERMATOGENESIS",0.197926197011284,0.605112287129385,-0.32876432869978,-1.16387915836263,1297,92,"PHKG2;TSSK2;TEKT2;KIF2C;SLC2A5;TALDO1;ART3;CSNK2A2;ADAM2;GMCL1;TSN"
"HALLMARK_TGF_BETA_SIGNALING",0.613289205702648,0.81701504364217,0.284246891822943,0.905251040300577,2408,34,"BCAR3;CTNNB1;LEFTY2;SMAD1"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.205738177623991,0.605112287129385,-0.301274941146523,-1.13752110220178,1426,146,"PMEPA1;SERPINB8;TLR2;TSC22D1;PLPP3;IFNGR2;CD80;CCL2;NFE2L2;DRAM1;IER5;IER2;SGK1;SOD2;IFIT2;CSF1;TNFRSF9;TRIP10;SLC2A3;PHLDA2;BCL3;CCNL1;KYNU;EFNA1;F3;CCND1;CXCL11;ACKR3;CLCF1;DUSP4;LIF;TRAF1;PLK2;PHLDA1;BTG3;CD44;IL1A;VEGFA;KLF6;PLAUR;MYC;PTPRE;TANK;GFPT2"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.0354239256678281,0.361139369277721,0.357414197276439,1.37110676807133,121,87,"TARS1;IGFBP1;ATF3;XBP1;ARFGAP1;ATF6;SSR1;NABP1;DCTN1;SPCS3;WFS1;EIF4EBP1;YIF1A;ATF4;EXOSC4;LSM1;NFYA"
"HALLMARK_UV_RESPONSE_DN",0.635011618900078,0.81701504364217,-0.263202669335579,-0.909765365826157,4098,79,"AGGF1;PRKCA;RBPMS;SCHIP1;PLPP3;SDC2;PEX14;MIOS;NIPBL;CDK13;AKT3;SYNJ2;DLC1;F3;ID1"
"HALLMARK_UV_RESPONSE_UP",0.129955947136564,0.579727156532853,0.291749468749354,1.17776771402274,412,122,"TARS1;MAPK8IP2;ATF3;YKT6;DDX21;ARRB2;CDKN2B;FOSB;APOM;MGAT1;NUP58;OLFM1;CLTB;ATP6V1F;PRPF3;BID;AP2S1;IRF1;HNRNPU;DLG4;SHOX2;MAOA"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.150729060698542,0.579727156532853,-0.453157269506399,-1.26721732062184,888,26,"NUMB;PSEN2;CUL1;HDAC11;PTCH1;SKP2"
"HALLMARK_XENOBIOTIC_METABOLISM",0.000852878464818763,0.0426439232409382,-0.420752150880559,-1.60830312583611,5,161,"PDK4;SPINT2;F11;FAS;CROT;NDRG2;TPST1;SERPINA6;SMOX;SLC46A3;NQO1;HNF4A;ELOVL5;MCCC2;ACOX1;TDO2;CYP2E1;ACOX3;CASP6;ACOX2;PTGES3;VNN1;ARG2;KYNU;SLC6A6;TKFC;SSR3;G6PC1;IDH1;ARG1;VTN;PINK1;IL1R1;EPHX1;UPP1;TMBIM6;MTHFD1;AQP9;PYCR1;CYP1A2;DDC;DHRS1;LEAP2;RBP4;SLC12A4;HRG;FAH;HMOX1;COMT;PTGDS;IGF1;CYP27A1;GCNT2;PEMT;APOE;ECH1"
